mode,availability,source_pu,source_vuf_percent,customer,bus,phase,original_phase_voltage_V,customer_voltage_V,customer_vmin_V,va_pn_V,vb_pn_V,vc_pn_V,neutral_V,vuf_percent,vmax_pg_V,vmax_pn_V
unity,0.5,1.0,1.0,ld24_load_a,b1044,a,244.78265718531586,245.50980134174313,241.9518532956377,244.78265718531586,245.50980134174313,241.9518532956377,0.20160532537867407,0.9698415053377706,245.4305982546259,245.50980134174313
unity,0.5,1.0,1.0,ld2804_load_c,b2443,c,241.9695268665283,245.51801808148988,241.9695268665283,244.77246059552593,245.51801808148988,241.9695268665283,0.21107243495097752,0.9692281278705676,245.4379505051425,245.51801808148988
unity,0.5,1.0,1.0,ld626_load_c,b2055,c,242.0854536810352,245.62392595908784,242.0854536810352,244.66774710841187,245.62392595908784,242.0854536810352,0.2951120034287991,0.9615031820855082,245.50528075180387,245.62392595908784
unity,0.5,1.0,1.0,ld868_load_a,b2190,a,244.7432605506418,245.5466531683135,242.00473519634832,244.7432605506418,245.5466531683135,242.00473519634832,0.23494935278137832,0.9671211236306355,245.45748408483055,245.5466531683135
mean_vv,0.5,1.0,1.0,ld1291_load_b,b828,b,245.3315207236108,245.3315207236108,241.80038017510788,244.90926760653102,245.3315207236108,241.80038017510788,0.0939908706684989,0.9818771506732075,245.32007766134183,245.3315207236108
mean_vv,0.5,1.0,1.0,ld1446_load_c,b260,c,241.83849433916834,245.3755046941473,241.83849433916834,244.84089684359282,245.3755046941473,241.83849433916834,0.13310893729259657,0.9779647760683083,245.34168491912953,245.3755046941473
mean_vv,0.5,1.0,1.0,ld1668_load_a,b605,a,244.89522822877666,245.33595311308136,241.75755020119854,244.89522822877666,245.33595311308136,241.75755020119854,0.08552189736455709,0.9811373149435667,245.30830693838206,245.33595311308136
mean_vv,0.5,1.0,1.0,ld1895_load_b,b1804,b,245.49538786706606,245.49538786706606,241.9507091448661,244.65644690616932,245.49538786706606,241.9507091448661,0.24627245244455445,0.9675692187641357,245.40128937723242,245.49538786706606
mean_vv,0.5,1.0,1.0,ld1970_load_c,b2492,c,242.00321871832628,245.5189512859319,242.00321871832628,244.6247276643933,245.5189512859319,242.00321871832628,0.2750117355047578,0.9657828829940142,245.42247861591795,245.5189512859319
mean_vv,0.5,1.0,1.0,ld2050_load_a,b1821,a,244.69708329943535,245.4697367942454,241.93559061131964,244.69708329943535,245.4697367942454,241.93559061131964,0.2236123232286523,0.969828285153506,245.39168517180835,245.4697367942454
mean_vv,0.5,1.0,1.0,ld2186_load_b,b1754,b,245.52537701315617,245.52537701315617,242.0022317367381,244.61347823227646,245.52537701315617,242.0022317367381,0.27949708643834825,0.965161468829327,245.42428438000766,245.52537701315617
mean_vv,0.5,1.0,1.0,ld248_load_b,b2560,b,245.35910282022567,245.35910282022567,241.8020214664077,244.86296641727546,245.35910282022567,241.8020214664077,0.11257621493630701,0.9792549461162845,245.3270243492609,245.35910282022567
mean_vv,0.5,1.0,1.0,ld24_load_a,b1044,a,244.7332943336359,245.44522368857557,241.9010057470458,244.7332943336359,245.44522368857557,241.9010057470458,0.19797897992567492,0.9718741896977823,245.37528204161237,245.44522368857557
mean_vv,0.5,1.0,1.0,ld2804_load_c,b2443,c,241.91835640538253,245.45301574438085,241.91835640538253,244.72280651877875,245.45301574438085,241.91835640538253,0.20754459054559465,0.9712740682368772,245.38227127147417,245.45301574438085
mean_vv,0.5,1.0,1.0,ld626_load_c,b2055,c,242.01535970013947,245.53483283303623,242.01535970013947,244.59954104675774,245.53483283303623,242.01535970013947,0.28937471624366806,0.9643879092640362,245.43038012752473,245.53483283303623
mean_vv,0.5,1.0,1.0,ld868_load_a,b2190,a,244.68904227575018,245.475711487452,241.9488953188367,244.68904227575018,245.475711487452,241.9488953188367,0.2309473764274628,0.9693711751693169,245.39705015754888,245.475711487452
mean_vv_vw,0.5,1.0,1.0,ld1291_load_b,b828,b,245.3315207236108,245.3315207236108,241.80038017510788,244.90926760653102,245.3315207236108,241.80038017510788,0.09399087066849854,0.9818771506732115,245.32007766134183,245.3315207236108
mean_vv_vw,0.5,1.0,1.0,ld1446_load_c,b260,c,241.83849433916834,245.3755046941473,241.83849433916834,244.84089684359282,245.3755046941473,241.83849433916834,0.13310893729259626,0.9779647760683085,245.34168491912953,245.3755046941473
mean_vv_vw,0.5,1.0,1.0,ld1668_load_a,b605,a,244.89522822877666,245.33595311308136,241.75755020119854,244.89522822877666,245.33595311308136,241.75755020119854,0.08552189736455698,0.9811373149435628,245.30830693838206,245.33595311308136
mean_vv_vw,0.5,1.0,1.0,ld1895_load_b,b1804,b,245.49538786706606,245.49538786706606,241.9507091448661,244.65644690616932,245.49538786706606,241.9507091448661,0.24627245244455448,0.9675692187641357,245.40128937723242,245.49538786706606
mean_vv_vw,0.5,1.0,1.0,ld1970_load_c,b2492,c,242.00321871832628,245.51895128593193,242.00321871832628,244.6247276643933,245.51895128593193,242.00321871832628,0.2750117355047577,0.965782882994014,245.42247861591798,245.51895128593193
mean_vv_vw,0.5,1.0,1.0,ld2050_load_a,b1821,a,244.69708329943538,245.4697367942454,241.93559061131964,244.69708329943538,245.4697367942454,241.93559061131964,0.22361232322865177,0.9698282851535096,245.39168517180835,245.4697367942454
mean_vv_vw,0.5,1.0,1.0,ld2186_load_b,b1754,b,245.52537701315617,245.52537701315617,242.0022317367381,244.61347823227646,245.52537701315617,242.0022317367381,0.27949708643834775,0.965161468829327,245.42428438000766,245.52537701315617
mean_vv_vw,0.5,1.0,1.0,ld248_load_b,b2560,b,245.35910282022567,245.35910282022567,241.8020214664077,244.86296641727546,245.35910282022567,241.8020214664077,0.1125762149363067,0.9792549461162844,245.3270243492609,245.35910282022567
mean_vv_vw,0.5,1.0,1.0,ld24_load_a,b1044,a,244.7332943336359,245.44522368857557,241.9010057470458,244.7332943336359,245.44522368857557,241.9010057470458,0.19797897992567481,0.9718741896977823,245.37528204161237,245.44522368857557
mean_vv_vw,0.5,1.0,1.0,ld2804_load_c,b2443,c,241.91835640538253,245.45301574438085,241.91835640538253,244.72280651877875,245.45301574438085,241.91835640538253,0.20754459054559457,0.9712740682368769,245.38227127147417,245.45301574438085
mean_vv_vw,0.5,1.0,1.0,ld626_load_c,b2055,c,242.01535970013947,245.53483283303623,242.01535970013947,244.59954104675774,245.53483283303623,242.01535970013947,0.2893747162436676,0.964387909264036,245.43038012752473,245.53483283303623
mean_vv_vw,0.5,1.0,1.0,ld868_load_a,b2190,a,244.68904227575018,245.475711487452,241.9488953188367,244.68904227575018,245.475711487452,241.9488953188367,0.2309473764274623,0.969371175169313,245.39705015754888,245.475711487452
worst_vv_vw,0.5,1.0,1.0,ld1291_load_b,b828,b,245.32376501577704,245.32376501577704,241.79427209102434,244.90347539650236,245.32376501577704,241.79427209102434,0.09398307025538967,0.9820893232551046,245.3126042809889,245.32376501577704
worst_vv_vw,0.5,1.0,1.0,ld1446_load_c,b260,c,241.82807825202207,245.36229031193375,241.82807825202207,244.83086565024323,245.36229031193375,241.82807825202207,0.13274434483496675,0.9783593031377825,245.32985792902312,245.36229031193375
worst_vv_vw,0.5,1.0,1.0,ld1668_load_a,b605,a,244.88612152960744,245.32400934895296,241.74811743823776,244.88612152960744,245.32400934895296,241.74811743823776,0.0851373977476461,0.9814925615545578,245.29752520286922,245.32400934895296
worst_vv_vw,0.5,1.0,1.0,ld1895_load_b,b1804,b,245.46824553387472,245.46824553387472,241.92934370460063,244.63565288648692,245.46824553387472,241.92934370460063,0.244599507291242,0.9684433427408468,245.37837968098927,245.46824553387472
worst_vv_vw,0.5,1.0,1.0,ld1970_load_c,b2492,c,241.9815241814067,245.49137718865697,241.9815241814067,244.60363624865911,245.49137718865697,241.9815241814067,0.2734480923487666,0.9666714834703273,245.39919911608578,245.49137718865697
worst_vv_vw,0.5,1.0,1.0,ld2050_load_a,b1821,a,244.6790711682565,245.44618790024526,241.91704757235658,244.6790711682565,245.44618790024526,241.91704757235658,0.22234601023785447,0.9705761386878161,245.37162284185968,245.44618790024526
worst_vv_vw,0.5,1.0,1.0,ld2186_load_b,b1754,b,245.49639591281078,245.49639591281078,241.9794236578492,244.5912873606276,245.49639591281078,241.9794236578492,0.2777673795588559,0.9660996442831619,245.39988773241362,245.49639591281078
worst_vv_vw,0.5,1.0,1.0,ld248_load_b,b2560,b,245.34618259221799,245.34618259221799,241.79182924709175,244.85313512944043,245.34618259221799,241.79182924709175,0.11218116687831739,0.9796412655778689,245.31544826020826,245.34618259221799
worst_vv_vw,0.5,1.0,1.0,ld24_load_a,b1044,a,244.71686355807802,245.42373619762907,241.88408286141953,244.71686355807802,245.42373619762907,241.88408286141953,0.19685573471098788,0.9725512293352278,245.35687218220963,245.42373619762907
worst_vv_vw,0.5,1.0,1.0,ld2804_load_c,b2443,c,241.90132580080225,245.43138684130915,241.90132580080225,244.70627886822516,245.43138684130915,241.90132580080225,0.20645219760307015,0.9719555309925308,245.3637404966641,245.43138684130915
